
"Banco de México"

"Balanza de pagos"
"Estado de origen de los ingresos por remesas provenientes de Estados Unidos "

"Fecha de consulta: 05/02/2022 02:09:24"

""

"Título","Estado de origen de los ingresos por remesas provenientes de Estados Unidos, Total"
"Periodo disponible","Ene-Mar 2013 - Oct-Dic 2021"
"Periodicidad","Trimestral"
"Cifra","Flujos"
"Unidad","Millones de Dólares"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SE43891"
01/01/2013,4893.906067
01/04/2013,5896.865144
01/07/2013,5453.105778
01/10/2013,5335.972388
01/01/2014,5270.629200
01/04/2014,6010.217794
01/07/2014,5729.486334
01/10/2014,5789.497893
01/01/2015,5595.440127
01/04/2015,6033.626765
01/07/2015,6227.166007
01/10/2015,5827.520623
01/01/2016,5957.459358
01/04/2016,6644.331712
01/07/2016,6562.403638
01/10/2016,6581.057232
01/01/2017,6635.520566
01/04/2017,7295.551646
01/07/2017,7236.745497
01/10/2017,7545.908564
01/01/2018,6770.555089
01/04/2018,8620.556953
01/07/2018,7897.431349
01/10/2018,8437.042602
01/01/2019,7538.702576
01/04/2019,9000.795293
01/07/2019,9274.908893
01/10/2019,8688.278808
01/01/2020,8969.507072
01/04/2020,9507.186474
01/07/2020,10183.228670
01/10/2020,10105.300342
01/01/2021,10122.625701
01/04/2021,12372.336627
01/07/2021,12945.161764
01/10/2021,13518.626369

