,note01,note02,note03,note04,note05,note06,note07,note08,note09,note10
0,0,0,0,0,0,0,0,0,0,0
1,41,52,55,57,60,0,0,0,0,0
2,69,0,0,0,0,0,0,0,0,0
3,44,50,59,64,67,0,0,0,0,0
4,65,0,0,0,0,0,0,0,0,0
5,43,53,57,58,60,0,0,0,0,0
6,48,52,0,0,0,0,0,0,0,0
7,60,0,0,0,0,0,0,0,0,0
8,46,57,60,62,67,0,0,0,0,0
9,45,55,59,60,62,0,0,0,0,0
10,50,54,0,0,0,0,0,0,0,0
11,43,53,57,58,62,0,0,0,0,0
12,70,0,0,0,0,0,0,0,0,0
13,48,52,58,62,69,0,0,0,0,0
14,67,0,0,0,0,0,0,0,0,0
15,45,55,59,60,64,0,0,0,0,0
16,55,58,65,69,72,0,0,0,0,0
17,72,0,0,0,0,0,0,0,0,0
18,46,56,60,61,70,0,0,0,0,0
19,53,60,62,64,69,0,0,0,0,0
20,49,59,63,65,0,0,0,0,0,0
21,48,58,62,64,0,0,0,0,0,0
22,43,53,57,58,67,0,0,0,0,0
23,45,52,55,59,60,0,0,0,0,0
24,43,53,57,58,0,0,0,0,0,0
25,44,53,58,59,0,0,0,0,0,0
26,62,0,0,0,0,0,0,0,0,0
27,51,61,65,67,72,0,0,0,0,0
28,50,57,64,66,72,0,0,0,0,0
29,55,58,65,69,74,0,0,0,0,0
30,48,58,62,64,70,0,0,0,0,0
31,41,52,57,62,65,0,0,0,0,0
32,48,64,0,0,0,0,0,0,0,0
33,50,64,66,69,0,0,0,0,0,0
34,55,58,65,69,0,0,0,0,0,0
35,48,58,62,64,69,0,0,0,0,0
36,41,52,60,62,69,0,0,0,0,0
37,46,57,60,62,65,0,0,0,0,0
38,45,55,59,60,69,0,0,0,0,0
39,43,53,62,69,70,0,0,0,0,0
40,46,56,61,67,70,0,0,0,0,0
41,41,52,60,67,70,0,0,0,0,0
42,50,54,60,64,69,0,0,0,0,0
43,43,53,59,64,69,0,0,0,0,0
44,49,59,63,67,0,0,0,0,0,0
45,48,52,58,62,67,0,0,0,0,0
46,69,72,0,0,0,0,0,0,0,0
47,51,55,61,65,69,0,0,0,0,0
48,48,62,64,0,0,0,0,0,0,0
49,55,62,65,69,70,0,0,0,0,0
50,54,61,64,68,70,0,0,0,0,0
51,53,60,64,67,70,0,0,0,0,0
52,54,62,63,69,0,0,0,0,0,0
53,41,52,57,62,65,87,0,0,0,0
54,89,0,0,0,0,0,0,0,0,0
55,62,65,68,71,83,92,0,0,0,0
56,83,92,0,0,0,0,0,0,0,0
57,62,65,68,71,89,0,0,0,0,0
58,63,68,72,84,92,0,0,0,0,0
