,filename,part,staves,mc_mean,mn_mean
0,.7jtnrb5k.mscx,part_1,"[1, 2]",16.2816091954023,16.2816091954023
1,.isoiskq6.mscx,part_1,"[1, 2]",87.15394533264569,87.15394533264569
2,african.mscz,part_1,[1],14.5,14.5
3,After_Hours_1923.mscz,part_1,"[1, 2]",45.8070939639079,45.8070939639079
4,After_Were_Gone.mscz,part_1,"[1, 2]",11.898058252427184,11.898058252427184
5,After_Youve_Gone_Concert.mscz,part_1,[1],10.05940594059406,10.05940594059406
6,Albert_Ammons_-_Monday_Struggle.mscz,part_1,"[1, 2]",41.047641509433966,41.047641509433966
7,Alexanders_Ragtime_Band (1).mscz,part_1,[1],31.025862068965516,30.025862068965516
8,Alexanders_Ragtime_Band (1).mscz,part_2,"[2, 3]",30.03370786516854,29.03370786516854
9,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,[1],18.043478260869566,18.043478260869566
10,Almost_like_being_in_Love.mscz,part_1,[1],15.070588235294117,14.070588235294117
11,Almost_Like_Being_in_Love__Eb.mscz,part_1,"[1, 2]",16.47926267281106,15.47926267281106
12,Amazing_Grace (1).mscz,part_1,"[1, 2]",9.253275109170305,8.253275109170305
13,Amazing_Grace.mscz,part_1,"[1, 2]",9.459893048128341,8.459893048128341
14,Amazing_Grace_-_Alan_Broz.mscz,part_1,"[1, 2]",31.533452274754683,31.533452274754683
15,Amazing_Grace_Easy_Piano.mscz,part_1,"[1, 2]",9.79646017699115,8.79646017699115
16,Angel_Eyes1.mscz,part_1,[1],16.047619047619047,16.047619047619047
17,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,"[1, 2]",14.135391923990499,14.135391923990499
18,Anyone_else_noticed_question.mscz,part_1,"[1, 2]",21.856234096692113,21.856234096692113
19,Anytime_Lead_sheet_with_lyrics_.mscz,part_1,[1],18.183908045977013,17.183908045977013
20,Around_The_World.mscz,part_1,"[1, 2]",16.933503836317136,15.933503836317136
21,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,[1],42.71167883211679,42.71167883211679
