,filename,part,staff,duration,count
0,.7jtnrb5k.mscx,part_1,1,1/8,8
1,.7jtnrb5k.mscx,part_1,1,1/4,89
2,.7jtnrb5k.mscx,part_1,1,1/2,103
3,.7jtnrb5k.mscx,part_1,1,3/4,8
4,.7jtnrb5k.mscx,part_1,1,1,15
5,.7jtnrb5k.mscx,part_1,2,1/4,8
6,.7jtnrb5k.mscx,part_1,2,1/2,110
7,.7jtnrb5k.mscx,part_1,2,1,7
8,.isoiskq6.mscx,part_1,1,0,8
9,.isoiskq6.mscx,part_1,1,1/24,3
10,.isoiskq6.mscx,part_1,1,1/16,36
11,.isoiskq6.mscx,part_1,1,1/12,34
12,.isoiskq6.mscx,part_1,1,1/8,1553
13,.isoiskq6.mscx,part_1,1,1/4,504
14,.isoiskq6.mscx,part_1,1,3/8,20
15,.isoiskq6.mscx,part_1,1,1/2,12
16,.isoiskq6.mscx,part_1,2,1/16,4
17,.isoiskq6.mscx,part_1,2,1/8,304
18,.isoiskq6.mscx,part_1,2,1/4,1363
19,.isoiskq6.mscx,part_1,2,3/8,9
20,.isoiskq6.mscx,part_1,2,1/2,21
21,.isoiskq6.mscx,part_1,2,3/4,7
22,african.mscz,part_1,1,1/4,112
23,After_Hours_1923.mscz,part_1,1,0,42
24,After_Hours_1923.mscz,part_1,1,1/8,338
25,After_Hours_1923.mscz,part_1,1,1/4,151
26,After_Hours_1923.mscz,part_1,1,3/8,63
27,After_Hours_1923.mscz,part_1,1,1/2,33
28,After_Hours_1923.mscz,part_1,1,1,74
29,After_Hours_1923.mscz,part_1,2,0,212
30,After_Hours_1923.mscz,part_1,2,1/8,83
31,After_Hours_1923.mscz,part_1,2,1/4,596
32,After_Hours_1923.mscz,part_1,2,3/8,6
33,After_Hours_1923.mscz,part_1,2,1/2,9
34,After_Were_Gone.mscz,part_1,1,1/12,9
35,After_Were_Gone.mscz,part_1,1,1/8,96
36,After_Were_Gone.mscz,part_1,1,1/4,8
37,After_Were_Gone.mscz,part_1,1,3/8,8
38,After_Were_Gone.mscz,part_1,1,1/2,14
39,After_Were_Gone.mscz,part_1,2,1/8,2
40,After_Were_Gone.mscz,part_1,2,1/4,37
41,After_Were_Gone.mscz,part_1,2,1/2,26
42,After_Were_Gone.mscz,part_1,2,3/4,3
43,After_Were_Gone.mscz,part_1,2,1,3
44,After_Youve_Gone_Concert.mscz,part_1,1,1/8,76
