,filename,part,staves,max_n_notes
0,.7jtnrb5k.mscx,part_1,"[1, 2]",5
1,.isoiskq6.mscx,part_1,"[1, 2]",9
2,african.mscz,part_1,[1],1
3,After_Hours_1923.mscz,part_1,"[1, 2]",9
4,After_Were_Gone.mscz,part_1,"[1, 2]",5
5,After_Youve_Gone_Concert.mscz,part_1,[1],1
6,Albert_Ammons_-_Monday_Struggle.mscz,part_1,"[1, 2]",9
7,Alexanders_Ragtime_Band (1).mscz,part_1,[1],1
8,Alexanders_Ragtime_Band (1).mscz,part_2,"[2, 3]",6
9,All_the_Things_You_are__Hammerstein_and_Kern.mscz,part_1,[1],1
10,Almost_like_being_in_Love.mscz,part_1,[1],1
11,Almost_Like_Being_in_Love__Eb.mscz,part_1,"[1, 2]",5
12,Amazing_Grace (1).mscz,part_1,"[1, 2]",7
13,Amazing_Grace.mscz,part_1,"[1, 2]",5
14,Amazing_Grace_-_Alan_Broz.mscz,part_1,"[1, 2]",6
15,Amazing_Grace_Easy_Piano.mscz,part_1,"[1, 2]",4
16,Angel_Eyes1.mscz,part_1,[1],1
17,Angel_Eyes__Matt_DennisEarl_Brent.mscz,part_1,"[1, 2]",6
18,Anyone_else_noticed_question.mscz,part_1,"[1, 2]",7
19,Anytime_Lead_sheet_with_lyrics_.mscz,part_1,[1],1
20,Around_The_World.mscz,part_1,"[1, 2]",5
21,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_1,[1],4
22,A_Black_Hand_by_Robert_Hoffman_1908.mscz,part_2,[2],4
23,A_breeze_from_alabama.mscz,part_1,[1],5
24,baby_i_dont_know_oh_oh_intro.mscz,part_1,"[1, 2]",6
25,Baby_I_Dont_Know_Oh_Oh__VulfpeckSolo_Piano.mscz,part_1,"[1, 2]",7
26,Bach_Up_To_Me__Fats_Waller.mscz,part_1,"[1, 2]",9
27,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_1,[1],8
28,Ben_Hur_Chariot_Race_March_by_E.T._Paull_1894.mscz,part_2,[2],8
29,Bethena_-_Scott_Joplin.mscz,part_1,"[1, 2]",6
30,Big_Bad_Bill_Is_Sweet_William_Now__Lead_sheet_with_lyrics_.mscz,part_1,[1],1
31,Black_and_White_Rag_-_arr._Winifred_Atwell.mscz,part_1,"[1, 2]",8
32,Black_and_White_Rag_-_George_Botsford.mscz,part_1,"[1, 2]",8
33,Black_and_White_Rag__George_Botsford (1).mscz,part_1,"[1, 2]",8
34,Black_and_White_Rag__George_Botsford.mscz,part_1,[1],4
35,Black_and_White_Rag__George_Botsford.mscz,part_2,[2],4
36,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_1,[1],6
37,Black_Diamond_Rag_by_Henry_Lodge_1912.mscz,part_2,[2],4
38,Blue_-_Boogie_etude.mscz,part_1,"[1, 2]",7
39,Blue_in_green_piano_rif.mscz,part_1,"[1, 2]",6
40,Blue_Lampshade_for_fun.mscz,part_1,"[1, 2]",9
41,BN_Remember.mscz,part_1,[1],1
42,Bog_sie_rodzi.mscz,part_1,[1],1
43,Boogie_woogie__Misc_Traditional_Boogie_Woogie___Basic_Piano_Solo_for_Beginners.mscz,part_1,"[1, 2]",10
44,Bouncing_on_the_Keys.mscz,part_1,"[1, 2]",7
45,C64_Cees_Kramer.mscz,part_1,"[1, 2]",4
46,Careless_Love.mscz,part_1,[1],1
47,Careless_Love__W._C._Handy_Careless_Love.mscz,part_1,[1],1
48,Careless_Love__W._C._Handy_Careless_Love.mscz,part_4,[1],1
49,Changes.mscz,part_1,"[1, 2]",7
50,ChariotsBb.mscz,part_1,[1],1
51,Checker_Rag.mscz,part_1,"[1, 2]",6
52,Childrens_Song_No._4.mscz,part_1,"[1, 2]",4
53,Chinese_Firecrackers.mscz,part_2,"[2, 3]",6
54,Chopins_tude_Op._10_No.1_with_an_inner_voice_with_unusual_authors_accents.mscz,part_1,"[1, 2]",4
55,Cleopha__Scott_Joplin.mscz,part_1,"[1, 2]",7
56,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_1,[1],6
57,Clover_Club_Piano_Roll_Transcription_Felix_Arndt_1915.mscz,part_2,[2],4
58,Colonial_Glide__by_Paul_Pratt_1910.mscz,part_1,[1],5
59,Colonial_Glide__by_Paul_Pratt_1910.mscz,part_2,[2],4
60,Columbia_Rag.mscz,part_1,"[1, 2]",7
61,Come_Thou_Fount_of_Every_Blessing_-_Robert_Robinson.mscz,part_1,"[1, 2]",8
